7. 6464 Canoga Ave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPOSED APARTMENT PROJECT – SPACE ALLOCATION ANALYSIS (BASED ON USER DESIGN INPUT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross building area (GBA) & gross floor area (GFA) analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proposal property type,,,,,Apartment,,,,The proposal property type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Building construction type,,,,,4.Type III/I,,,,"The building’s structural material and fire-resistance classification (e.g., Type V – wood, Type III – mixed, Type I – concrete/steel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lot Size (GSF),,,,,"77,858",,SF,,Lot Size / Parcel Area / Plot Area : The total land parcel area for the existing office site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FAR,,,,,3.6,,,,The ratio of Gross Floor Area (GFA) to Lot Size for the proposed apartment project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Floor Area (GFA),,,,,"279,886",,SF,,"The total usable floor area that counts toward zoning FAR, excluding shafts, mechanical/electrical rooms, & other exempt spaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Building Area (GBA),,,,,"297,432",,SF,,"The total area of the proposed apartment measured to exterior walls, including all enclosed spaces before FAR exclusion (CBC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stories,,,,,10,,,,The number of floors in the existing office.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Typical floor plate area (GSF),,,,,"29,743",,SF,,"The gross area of one standard floor in the proposed apartment, representing a typical level footprint.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentable area,,,,,"228,489",,SF,,The portion of the proposed apartment building that can be leased or rented to tenants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Building Area (GBA),,,,,"297,432",,SF,,"The total area of the proposed apartment measured to exterior walls, including all enclosed spaces before FAR exclusions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net-to-Gross ratio,,,,,76.80%,,,,"The efficiency ratio of the proposed apartment, calculated as Rentable Area ÷ Gross Building Area (GBA).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Area,,,,,,,,% GBA,,,Building Area,,,Floor Area,,,GSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dwelling Units,,,,,,,,76.80%,,,"228,489 SF",,,"228,489 SF",,,"228,489 SF",,,,,,,,,,,,,,,76.80%,,,,,,,,,,,,,,,,,,,
,Retail,,,,,,,,0.00%,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Circulation,,,,,,,,10.50%,,,"31,196 SF",,,"28,661 SF",,,"36,772 SF",,,,,,,,,,,,,,,10.50%,,,,,,,,,,,,,,,,,,,
,Support Areas,,,,,,,,4.50%,,,"13,337 SF",,,"10,712 SF",,,"13,515 SF",,,,,,,,,,,,,,,4.50%,,,,,,,,,,,,,,,,,,,
,Staff / Management,,,,,,,,0.60%,,,"1,875 SF",,,"1,728 SF",,,"1,875 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Amenities – Indoor,,,,,,,,3.50%,,,"10,296 SF",,,"10,296 SF",,,"10,296 SF",,,,,,,,,,,,,,,3.50%,,,,,,,,,,,,,,,,,,,
,Amenities – Outdoor,,,,,,,,0.00%,,,-,,,-,,,"18,668 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parking & Vehicle Access Areas,,,,,,,,0.40%,,,"1,300 SF",,,-,,,"1,300 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low Voltage,,,,,,,,0.20%,,,718 SF,,,-,,,718 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dry Utilities,,,,,,,,1.60%,,,"4,888 SF",,,-,,,"4,888 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Electrical,,,,,,,,0.70%,,,"2,040 SF",,,-,,,"2,040 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Mechanical,,,,,,,,0.00%,,,-,,,-,,,"2,276 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Back of House – Plumbing,,,,,,,,1.00%,,,"2,928 SF",,,-,,,"2,928 SF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
